"gene_id"	"brief.description"
"1"	"WBGene00000001"	"aap-1 encodes the C. elegans ortholog of the phosphoinositide 3-kinase (PI3K) p50/p55 adaptor/regulatory subunit; AAP-1 negatively regulates lifespan and dauer development, and likely functions as the sole adaptor subunit for the AGE-1/p110 PI3K catalytic subunit to which it binds in vitro; although AAP-1 potentiates insulin-like signaling, it is not absolutely required for insulin-like signaling under most conditions."
"2"	"WBGene00000002"	"aat-1 encodes an amino acid transporter catalytic subunit; when co-expressed in Xenopus oocytes with the ATG-2 glycoprotein subunit, AAT-1 is able to facilitate amino acid uptake and exchange, showing a relatively high affinity for small and some large neutral amino acids; in addition, AAT-1 is able to covalently associate with ATG-2 or ATG-1 to form heterodimers in the Xenopus expression system; when co-expressed with ATG-2, AAT-1 localizes to the cell surface of oocytes, but when expressed alone or with ATG-1, AAT-1 localizes intracellularly."
"3"	"WBGene00000003"	"aat-2 encodes a predicted amino acid transporter catalytic subunit; when co-expressed in Xenopus oocytes with a glycoprotein subunit, however, AAT-2 is not able to induce amino acid uptake."
"4"	"WBGene00000004"	"aat-3 encodes an amino acid transporter catalytic subunit; when co-expressed in Xenopus oocytes with the ATG-2 glycoprotein subunit, AAT-3 is able to facilitate amino acid uptake and exchange, showing a relatively high affinity for small and some large neutral amino acids; in addition, AAT-3 is able to covalently associate with ATG-2 or ATG-1 to form heterodimers in the Xenopus expression system; when co-expressed with ATG-2, AAT-3 localizes to the cell surface of oocytes, but when expressed alone, or with ATG-1, AAT-3 localizes intracellularly."
"5"	"WBGene00000005"	"aat-4 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-4 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-4 does not require this residue for heterodimer formation or, alternatively, does not require the glycoprotein subunit for function."
"6"	"WBGene00000006"	"aat-5 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-5 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-5 does not require this residue for heterodimer formation or alternatively, does not require the glycoprotein subunit for function."
"7"	"WBGene00000007"	"aat-6 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-6 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-6 does not require this residue for heterodimer formation or alternatively, does not require the glycoprotein subunit for function."
"8"	"WBGene00000008"	"aat-7 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-7 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-7 does not require this residue for heterodimer formation or alternatively, does not require the glycoprotein subunit for function."
"9"	"WBGene00000009"	"aat-8 encodes a predicted amino acid transporter catalytic subunit; unlike catalytic subunits in other organisms, however, AAT-8 does not contain the highly conserved cysteine residue known to facilitate covalent interaction with a glycoprotein subunit, suggesting that AAT-8 does not require this residue for heterodimer formation or alternatively, does not require the glycoprotein subunit for function."
"10"	"WBGene00000010"	"aat-9 encodes an amino acid transporter catalytic subunit; AAT-9 lacks the conserved cysteine residue proposed to be essential for association with a glycoprotein subunit, and when expressed alone in Xenopus ooctyes, AAT-9 can localize to the cell surface and function as an aromatic amino acid exchanger that displays substrate-activated anion conductance; nevertheless, AAT-9 activity is enhanced by co-expression with the ATG-1 and ATG-2 glycoprotein subunits; an aat-9::gfp promoter fusion directs expression in anterior neurons, including some chemosensory neurons, as well as in some anterior body wall muscles."
"11"	"WBGene00000011"	"This gene is required for the cell cycle: mutation of abc-1 causes defective chromosome segregation during nuclear division in dividing embryonic cells, due to an abnormal bridge never broken during anaphase."
"12"	"WBGene00000012"	"The abf-1 gene encodes a homolog of the antibacterial factor ASABF from Ascaris suum; it is closely related to abf-2."
"13"	"WBGene00000013"	"abf-2 encodes an antimicrobial peptide homologous to Ascaris suum antibacterial factor ASABF, and closely related to ABF-1; recombinant ABF-2 displays strong microbicidal activity against Gram-negative and Gram-positive bacteria, as well as fungi; on account of ABF-2's antimicrobial activity, sequence similarity, and expression in the pharyngeal marginal zone, ABF-2 is thought to mediate an antimicrobial humoral response; abf-2 expression in the pharynx in response to infection requires tol-1, which encodes a conserved Toll-like receptor required for the innate immune response."
"14"	"WBGene00000014"	"abf-3 encodes a homolog of the antibacterial factor ASABF from Ascaris suum; ABF-3 may play a role in innate immunity, though at present the only evidence for its having an antimicrobial humoral function is its sequence similarity."
"15"	"WBGene00000015"	"abf-4 encodes a homolog of the antibacterial factor ASABF from Ascaris suum; ABF-4 may play a role in innate immunity, though at present the only evidence for its having an antimicrobial humoral function is its sequence similarity."
"16"	"WBGene00000016"	"The abf-5 gene encodes a homolog of the antibacterial factor ASABF from Ascaris suum."
"17"	"WBGene00000017"	"abf-6 encodes a homolog of the antibacterial factor ASABF from Ascaris suum; ABF-6 may play a role in innate immunity, though at present the only evidence for its having an antimicrobial humoral function is its sequence similarity."
"18"	"WBGene00000018"	"abl-1 encodes, by alternative splicing, three isoforms of a Src homology (SH) 2 and 3 domain-containing non-receptor tyrosine kinase orthologous to human ABL1 (OMIM:189980, mutated in chronic myeloid leukemia) and ABL2 (OMIM:164690); ABL-1 inhibits germline apoptosis induced by radiation or by natural aging, but it has no effect on apoptosis induced by starvation or by chemical mutagens (ethylnitrosourea, ethylmethanesulfonate, cisplatin, etoposide), or on constitutive ('physiological') germline apoptosis; at the same time, ABL-1 is required for germline apoptosis induced by oxidative, osmotic or heat-shock stress, and is also required for pathogenesis by Shigella flexneri infecting the intestine; ABL-1-inhibited apoptosis is confined to a single gonad arm undergoing radiation, having no nonautonomous effect on the unirradiated arm; abl-1 is expressed in the germline, in most or all cells of early embryos, and in postembryonic pharynx, tail ganglia and ventral nerve cord; abl-1(ok171) mutants are hypersensitive to germline apoptosis and resistant to S. flexneri infection; both abl-1(ok171) phenotypes are phenocopied by c-ABL inhibitors such as STI-571 (Gleevec); ABL-1-inhibited apoptosis requires active CED-3 and EGL-1, inactive CED-9, and active AKT-1, CEP-1, CLK-1, HUS-1, and MRT-2; abl-1(ok171) has no effect on somatic apoptosis, and abl-1(ok171) mutants are generally normal; abl-1 transcripts are enriched in cultured unc-4::GFP neurons."
"19"	"WBGene00000019"	"abt-1 encodes a predicted ATP-binding cassette (ABC) transporter that is a member of the ABCA subfamily of transport proteins; ABT-1 is predicted to function as a transmembrane protein that couples energy to transport of various molecules across membranes; abt-1 is required for efficient RNA interference in the germline."
"20"	"WBGene00000020"	"abt-2 encodes a predicted ATP-binding cassette (ABC) transporter that is a member of the ABCA subfamily of transport proteins; ABT-2 is predicted to function as a transmembrane protein that couples energy to transport of various molecules across membranes."
"21"	"WBGene00000021"	""
"22"	"WBGene00000022"	"abt-4 encodes a predicted ATP-binding cassette (ABC) transporter that is a member of the ABCA subfamily of transport proteins; ABT-4 is predicted to function as a transmembrane protein that couples energy to transport of various molecules across membranes, but as loss of abt-4 activity via RNAi results in no obvious defects, the precise role of abt-4 in C. elegans development and/or behavior is not yet known; abt-4 promoter-gfp fusion proteins are widely expressed in larvae and adults, with expression seen in the pharynx, the pharyngeal-intestinal valve, the intestine, renal gland cells, hypodermis, various neurons, and unidentified cells in the head and tail."
"23"	"WBGene00000023"	"abt-5 encodes a predicted ATP-binding cassette (ABC) transporter that is a member of the ABCA subfamily of transport proteins; ABT-5 is predicted to function as a transmembrane protein that couples energy to transport of various molecules across membranes, but as loss of abt-5 activity via RNAi results in no obvious defects, the precise role of abt-5 in C. elegans development and/or behavior is not yet known; abt-5 promoter-gfp fusion proteins are expressed in larvae and adults in the intestine and in unidentified cells in the head."
"24"	"WBGene00000024"	"abu-1 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-1 expression is induced by blockage of the endoplasmic reticulum unfolded protein response, and ABU-1 may help protect the organism from damage by improperly folded nascent protein; when expressed in COS1 cells, ABU-1 localizes to the endoplasmic reticulum membrane."
"25"	"WBGene00000025"	"abu-2 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-2 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-2 may help protect the organism from damage by improperly folded nascent protein."
"26"	"WBGene00000026"	"abu-3 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-3 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum (ER), and ABU-3 may function within the ER to protect the organism from damage by improperly folded nascent protein; abu-3 expression is enhanced in ER-stressed animals in which the unfolded protein response (UPR) is blocked by mutations in xbp-1, a bZIP transcription factor."
"27"	"WBGene00000027"	"abu-4 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-4 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum (ER), and ABU-4 may function within the ER to protect the organism from damage by improperly folded nascent protein; abu-4 expression is enhanced in ER-stressed animals in which the unfolded protein response (UPR) is blocked by mutations in xbp-1, a bZIP transcription factor."
"28"	"WBGene00000028"	"abu-5 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-5 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum (ER), and ABU-5 may function within the ER to protect the organism from damage by improperly folded nascent protein."
"29"	"WBGene00000029"	"abu-6 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-6 is a member of a paralogous group of genes whose expression is transcriptionally up-regulated during times of cuticle synthesis, such as during late embryogenesis and during the molts; abu-6 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-6 may help protect the organism from damage by improperly folded nascent protein; RNAi experiments targeting abu-6, and potentially several other paralogous genes, result in slow growth and defective function of the pharyngeal grinder."
"30"	"WBGene00000030"	"abu-7 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-7 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-7 may help protect the organism from damage by improperly folded nascent protein."
"31"	"WBGene00000031"	"abu-8 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-8 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-8 may help protect the organism from damage by improperly folded nascent protein."
"32"	"WBGene00000032"	"abu-9 encodes a transmembrane protein (identical to that predicted for the pqn-57 gene) with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-9 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-9 may help protect the organism from damage by improperly folded nascent protein."
"33"	"WBGene00000033"	"abu-10 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and a cysteine-rich repeat (DUF139); abu-10 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum (ER), and ABU-10 may function within the ER to protect the organism from damage by improperly folded nascent protein."
"34"	"WBGene00000034"	"abu-11 encodes a transmembrane protein with a predicted signal sequence, a glutamine/asparagine-rich domain and multiple cysteine-rich repeats (DUF139); abu-11 expression is induced by blockage of the unfolded-protein response in the endoplasmic reticulum, and ABU-11 may help protect the organism from damage by improperly folded nascent protein."
"35"	"WBGene00000035"	"ace-1 encodes a class A acetylcholinesterase that functions redundantly with ACE-2 with respect to total class A acetylcholinesterase activity, and that genetically interacts with ace-2 and ace-3; ace-1 is expressed in the body wall muscle, sphincter muscle, head neurons, a few pharyngeal muscle cells, and the diagonal and spicule muscles of the male."
"36"	"WBGene00000036"	"An acetylcholineesterase involved in the termination of cholinergic nerve transmission; it is predominantly expressed in motoneurons."
"37"	"WBGene00000037"	"ace-3 encodes one of four C. elegans acetylcholinesterases (AChE); ACE-3 represents ~5% of the total AChE activity in C. elegans and in vitro, hydrolyzes acetylthio-, butyrylthio-, and propionylthiocholine substrates with equal efficiency; although loss-of-function mutations in ace-3 result in no obvious defects, animals doubly mutant with ace-1 or ace-2 have slight defects in backward locomotion and animals triply mutant for ace-1, -2, and -3 arrest as unhatched, yet fully developed, embryos; ace-3 is the downstream gene in an operon with a fourth AChE-encoding gene, ace-4, and transcriptional reporter fusions with ace-4 upstream sequences direct expression in pharyngeal muscles pm3, 4, 5, and 7, the two CAN (canal associated neuron) cells, midbody dorsal body wall muscles in larvae, and several neurons in the head and anal ganglion"
"38"	"WBGene00000038"	"ace-4 encodes an divergent acetylcholinesterase homolog with biochemically undetectable activity."
"39"	"WBGene00000039"	"acn-1 encodes an ACE-like protein required for larval development and adult morphogenesis, and probably for cell fusion in larval seam cells; ACN-1 lacks not only the HExxH consensus metallopeptidase motif, but also other active site residues found in the sequence HEAI/VxD of mammalian and insect ACEs; acn-1 is expressed in hypodermal cells, vulval precursor cells, and ray papillae in the male tail; the hypodermal expression of acn-1 appears to be controlled by nhr-23 and nhr-25."
"40"	"WBGene00000040"	"aco-1 encodes an aconitase that is homologous to mammalian iron regulatory protein-1 (IRP1); aco-1 activity is required for normal brood sizes and, under iron stress conditions, for normal lifespan and L4-to-adult growth rates; ACO-1 physically interacts with GEX-3; like IRP1, ACO-1 has aconitase activity and is post-translationally regulated by iron, but, unlike IRP1, it lacks RNA-binding activity; aco-1 mRNA levels appear to decrease in response to iron treatment; an ACO-1::GFP fusion protein exhibits cytosolic expression in the hypodermal seam cells and the intestine."
"41"	"WBGene00000041"	"aco-2 encodes an aconitase homolog that is required for embryonic viability, fertility, locomotion, and vulval morphogenesis, and perhaps for normal lifespan."
"42"	"WBGene00000042"	"A homolog of a non-alpha type nicotinic acetylcholine receptor subunit that forms a functional channel when co-expressed with the unc-38 alpha subunit."
"43"	"WBGene00000043"	"acr-3 encodes a non-alpha subunit of the nicotinic acetylcholine receptor (nAChR) superfamily; ACR-3 functions as a ligand-gated ion channel that likely mediates fast actions of acetylcholine at neuromuscular junctions and in the nervous system; when coexpressed with UNC-38, an nAChR alpha subunit, the resulting hetero-oligomer can form levamisole-gated channels; ACR-3 is a member of the UNC-29-like group of nAChR subunits."
"44"	"WBGene00000044"	"acr-5 encodes a predicted member of the alpha subunit family of nicotinic acetylcholine receptors that is expressed in the nervous system."
"45"	"WBGene00000045"	"acr-6 encodes a nicotinic acetylcholine receptor (nAChR) alpha subunit that is a member of the UNC-38 subgroup of C. elegans nAChRs; ACR-6 is thus predicted to function in regulation of fast neurotransmission."
"46"	"WBGene00000046"	"acr-7 encodes an alpha-7-like homomer-forming subunit of the nicotinic acetylcholine receptor (nAChR) superfamily which encode ligand-gated ion channels that regulate fast action of acetylcholine at neuromuscular junctions and in the nervous system; ACR-7 is expressed pharyngeal muscle and in tail neurons distal to the anus, and is a member of the ACR-16-like group of nAChR subunits."
"47"	"WBGene00000047"	"acr-8 encodes an alpha subunit of nicotinic acetylcholine receptor (nAChR); ACR-8 falls into the 'ACR-8' class of nAChR subunits, which includes ACR-12 and ACR-13."
"48"	"WBGene00000048"	"acr-9 encodes a predicted member of the alpha subunit family of nicotinic acetylcholine receptors."
"49"	"WBGene00000049"	"acr-10 encodes an alpha-7-like homomer-forming subunit of the nicotinic acetylcholine receptor (nAChR) superfamily which encode ligand-gated ion channels that regulate fast action of acetylcholine at neuromuscular junctions and in the nervous system; ACR-10 is a member of the ACR-16-like group of nAChR subunits."
"50"	"WBGene00000050"	"A homolog of an alpha type nicotinic acetylcholine receptor subunit involved in the mediation of fast synaptic transmission at neuromuscular junctions."
"51"	"WBGene00000051"	"acr-12 encodes a nicotinic acetylcholine receptor (nAChR) alpha subunit that is a member of the ACR-8-like group of C. elegans nAChR subunits; as an nAChR subunit, ACR-12 is predicted to mediate fast excitatory neurotransmission, however loss of acr-12 activity via mutation or RNAi results in no obvious defects; ACR-12 copurifies with UNC-29 and LEV-1, suggesting that ACR-12 can form receptors with these two non-alpha AChR subunits; an ACR-12::GFP fusion protein is expressed exclusively in ventral cord motor neurons, including the D neurons; in vivo, ACR-12 colocalizes with some, but not all, UNC-38-containing postsynaptic receptor clusters, suggesting that ACR-12 contributes to only a subset of these receptor clusters."
"52"	"WBGene00000053"	"acr-14 encodes a protein that contains neurotransmitter-gated ion-channel ligand-binding and transmembrane domains."
"53"	"WBGene00000054"	"A homolog of an alpha type nicotinic acetylcholine receptor subunit involved in the mediation of fast synaptic transmission at neuromuscular junctions."
"54"	"WBGene00000055"	"acr-16 encodes an alpha-7-like homomer-forming subunit of the nicotinic acetylcholine receptor (nAChR) superfamily orthologous to human nicotinic cholinergic receptor alpha 7 (CHRNA7; OMIM:118511; possibly associated with schizophrenia and juvenile myoclonic epilepsy); ACR-16 functions as a ligand-gated ion channel that is required for the major fast cholinergic excitatory current at C. elegans neuromuscular junctions; when expressed in Xenopus ooctyes, ACR-16 is active as a homomeric receptor and responds robustly to acetylcholine; an ACR-16::GFP reporter fusion expressed in muscle cells localizes to the tips of muscle arms, specific regions of the muscle cell membrane that form synapses with neuronal processes; acr-16::gfp promoter fusions also reveal expression in a subset of neurons; ACR-16 localization to postsynaptic regions, a key component of activity-dependent synaptic plasticity, is regulated by a Wnt signaling pathway that includes CWN-2, LIN-17, CAM-1, and DSH-1."
"55"	"WBGene00000056"	""
